code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name
3272,ECG: atrial fibrillation,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
3273,ECG: atrial flutter,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
793M100,Perc transluminal ablation of atrial wall for atrial flutter,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
793M300,Perc translum ablat conduct sys heart for atrial flutter NEC,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
G573.00,Atrial fibrillation and flutter,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
G573000,Atrial fibrillation,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
G573100,Atrial flutter,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
G573200,Paroxysmal atrial fibrillation,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
G573300,Non-rheumatic atrial fibrillation,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
G573400,Permanent atrial fibrillation,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
G573500,Persistent atrial fibrillation,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
G573z00,Atrial fibrillation and flutter NOS,Read codes v2,C3175,8509,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1025,2259,Atrial Fibrillation
14S4.00,H/O: heart valve recipient,Read codes v2,C3176,8511,File - Atrial Fibrillation - Primary Care - Heart Valve Procedure,PH1025,2259,Atrial Fibrillation
14T3.00,H/O: artificial heart valve,Read codes v2,C3176,8511,File - Atrial Fibrillation - Primary Care - Heart Valve Procedure,PH1025,2259,Atrial Fibrillation
7914.11,Replacement of unspecified valve of heart,Read codes v2,C3176,8511,File - Atrial Fibrillation - Primary Care - Heart Valve Procedure,PH1025,2259,Atrial Fibrillation
7914000,Allograft replacement of valve of heart NEC,Read codes v2,C3176,8511,File - Atrial Fibrillation - Primary Care - Heart Valve Procedure,PH1025,2259,Atrial Fibrillation
7914100,Xenograft replacement of valve of heart NEC,Read codes v2,C3176,8511,File - Atrial Fibrillation - Primary Care - Heart Valve Procedure,PH1025,2259,Atrial Fibrillation
7914200,Prosthetic replacement of valve of heart NEC,Read codes v2,C3176,8511,File - Atrial Fibrillation - Primary Care - Heart Valve Procedure,PH1025,2259,Atrial Fibrillation
7914211,Edwards prosthetic replacement of valve of heart,Read codes v2,C3176,8511,File - Atrial Fibrillation - Primary Care - Heart Valve Procedure,PH1025,2259,Atrial Fibrillation
